date,actual,predicted
2015-01-01,205.32810252716476,232.53299275026322
2015-02-01,209.77443495613105,209.3577089238327
2015-03-01,208.23808825106042,211.0866479340712
2015-04-01,202.56129949109018,199.99790986492368
2015-05-01,200.42740507845076,197.05585522998766
2015-06-01,179.33648422555825,177.86606839903834
2015-07-01,169.6597112538649,148.89722080201489
2015-08-01,168.67864973617546,149.73533752190016
2015-09-01,181.32219755739703,164.9636248407782
2015-10-01,202.255415368415,206.1085469691264
2015-11-01,215.49584334500554,230.7729756961737
2015-12-01,222.10162105352856,232.5292516195211
